,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_renovated,sqft_living15,sqft_lot15,price,sale_year,zipcode_1,zipcode_2,zipcode_3,zipcode_4,sale_month_01,sale_month_02,sale_month_03,sale_month_04,sale_month_05,sale_month_06,sale_month_07,sale_month_08,sale_month_09,sale_month_10,sale_month_11,sale_month_12
39,3,2.5,2620.0,7553.0,2.0,0,0,3,3.0,2620.0,0.0,0,2620.0,11884.0,605000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,4,2.5,2570.0,5520.0,2.0,0,0,3,3.0,2570.0,0.0,0,2470.0,5669.0,625000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,4,2.25,4220.0,24186.0,1.0,0,0,3,3.0,2600.0,1620.0,0,2410.0,30617.0,775000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,5,2.25,3595.0,5639.0,2.0,0,0,3,3.0,3595.0,0.0,0,3625.0,5639.0,861990,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,3,1.0,1570.0,7620.0,2.0,0,0,3,2.0,1570.0,0.0,0,1580.0,2640.0,685000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44,3,1.0,1280.0,9656.0,1.0,0,0,4,1.0,920.0,360.0,0,1340.0,8808.0,309000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,3,2.5,3160.0,13603.0,2.0,0,0,3,3.0,3160.0,0.0,0,3050.0,9232.0,488000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,3,1.0,990.0,8528.0,1.0,0,0,3,1.0,990.0,0.0,0,1228.0,8840.0,210490,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,4,2.5,2290.0,13416.0,2.0,0,0,4,3.0,2290.0,0.0,0,2680.0,13685.0,785000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
48,3,1.75,1250.0,5963.0,1.0,0,0,4,2.0,1250.0,0.0,0,970.0,5100.0,450000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
50,3,1.0,1190.0,9199.0,1.0,0,0,3,2.0,1190.0,0.0,0,1190.0,9364.0,228000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,5,2.5,3150.0,9134.0,1.0,0,0,4,3.0,1640.0,1510.0,0,1990.0,9133.0,345000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,3,2.25,1410.0,4080.0,1.0,0,0,4,2.0,1000.0,410.0,0,1410.0,4080.0,600000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,5,2.25,2730.0,6000.0,1.5,0,0,3,3.0,2130.0,600.0,0,2730.0,12729.291474216161,920000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
55,4,2.5,2830.0,5000.0,2.0,0,0,3,3.0,2830.0,0.0,0,1985.9880060783676,12729.291474216161,885000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
56,4,2.5,2250.0,4495.0,2.0,0,0,3,2.0,2250.0,0.0,0,2250.0,4500.0,292500,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,3,2.5,1920.0,4750.0,2.0,0,0,3,3.0,2420.0,0.0,0,2690.0,4750.0,301000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,5,3.25,3250.0,14342.0,2.0,0,4,4,3.0,3250.0,0.0,0,2960.0,11044.0,951000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
59,4,3.0,1850.0,9976.0,2.0,0,0,3,2.5,1850.0,0.0,0,2270.0,8542.0,430000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,3,2.25,2150.0,21235.0,1.0,0,3,4,3.0,1788.3689340415656,560.0,0,2570.0,18900.0,650000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,3,1.75,1260.0,8400.0,1.0,0,0,3,2.0,1260.0,0.0,0,1290.0,8750.0,289000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,3,1.75,2519.0,8690.0,2.0,0,0,5,3.0,2519.0,0.0,0,2500.0,9500.0,505000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,3,1.75,1540.0,1044.0,3.0,0,0,3,3.0,1540.0,0.0,0,1580.0,3090.0,549000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,3,2.25,1660.0,6000.0,1.0,0,0,3,2.0,1110.0,550.0,0,1440.0,12729.291474216161,425000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
65,3,2.75,2770.0,3809.0,1.5,0,0,5,2.0,1770.0,1000.0,0,1440.0,4000.0,317625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,4,2.5,2720.0,11049.0,2.0,0,0,3,3.0,2720.0,0.0,0,1985.9880060783676,11049.0,975000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
67,4,2.5,2240.0,4648.0,2.0,0,0,3,2.5,2240.0,0.0,0,2221.0,4557.0,287000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,3,2.25,1000.0,12070.0,1.0,0,0,4,2.0,1000.0,0.0,0,1010.0,12635.0,204000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,5,2.25,3200.0,20158.0,1.0,0,0,3,3.0,1788.3689340415656,0.0,0,1985.9880060783676,20158.0,1325000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
70,5,3.25,4770.0,50094.0,1.0,0,0,4,4.0,3070.0,1700.0,0,3530.0,38917.0,1040000,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
71,3,2.0,1260.0,5612.0,1.0,0,0,4,2.0,1260.0,0.0,0,1640.0,4745.0,325000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,4,2.0,2750.0,7807.0,1.5,0,0,5,2.0,2250.0,500.0,0,1510.0,7807.0,571000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,4,2.5,2380.0,5000.0,2.0,0,0,3,3.0,2380.0,0.0,0,2420.0,5000.0,360000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,4,4.0,3430.0,35102.0,2.0,0,0,4,3.0,2390.0,1040.0,0,3240.0,35020.0,832500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
76,4,1.75,1760.0,7300.0,1.0,0,0,3,2.0,880.0,880.0,0,1680.0,7500.0,380000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
77,3,1.0,1040.0,5060.0,1.0,0,0,3,2.0,1040.0,0.0,0,890.0,5060.0,480000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
79,4,2.5,3450.0,39683.0,2.0,0,0,3,2.5,3450.0,0.0,0,3350.0,39750.0,720000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,3,2.5,2350.0,5100.0,2.0,0,0,3,3.0,2350.0,0.0,0,2350.0,5363.0,390000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,4,2.5,1900.0,5889.0,2.0,0,0,3,2.0,1900.0,0.0,0,1870.0,6405.0,360000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,2,1.0,2020.0,7620.0,1.0,0,0,3,2.0,1010.0,1010.0,0,1985.9880060783676,6720.0,355000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,3,1.5,1680.0,8712.0,1.0,0,0,3,3.0,1788.3689340415656,0.0,0,1850.0,8797.0,356000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,3,1.0,960.0,6634.0,1.0,0,0,3,1.0,960.0,0.0,0,1570.0,7203.0,315000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,3,1.5,2140.0,3600.0,2.0,0,0,3,3.0,1900.0,240.0,0,1985.9880060783676,12729.291474216161,940000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
86,5,2.25,2660.0,8400.0,1.5,0,0,5,2.0,2660.0,0.0,0,1590.0,8165.0,305000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,3,3.25,2770.0,6278.0,2.0,0,0,3,3.0,1980.0,790.0,0,1900.0,7349.0,461000,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,2,2.25,1610.0,2040.0,2.0,0,0,4,2.0,1610.0,0.0,0,1950.0,2025.0,215000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,2,1.75,1030.0,1066.0,2.0,0,0,3,2.0,765.0,265.0,0,1030.0,1106.0,335000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
90,4,2.25,1980.0,7403.0,2.0,0,0,3,2.0,1980.0,0.0,0,1980.0,7510.0,243500,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,5,2.75,3520.0,7620.0,2.0,0,0,4,3.0,3520.0,0.0,0,2520.0,12729.291474216161,1099880,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
92,3,1.0,1200.0,10500.0,1.0,0,0,3,2.0,1200.0,0.0,0,1350.0,10500.0,153000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,3,1.5,1580.0,5000.0,1.0,0,0,3,3.0,1290.0,290.0,0,1570.0,4500.0,430000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
94,3,1.5,1580.0,5000.0,1.0,0,0,3,3.0,1290.0,290.0,0,1570.0,12729.291474216161,700000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,4,2.25,3300.0,10250.0,1.0,0,0,3,2.0,2390.0,910.0,1,1950.0,6045.0,905000,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
96,3,1.75,1960.0,15681.0,1.0,0,0,3,2.0,1960.0,0.0,0,1750.0,15616.0,247500,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,4,1.5,1160.0,6400.0,1.0,0,0,4,2.0,1160.0,0.0,0,1160.0,6400.0,199000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,3,2.5,2320.0,36847.0,2.0,0,2,3,3.0,2320.0,0.0,0,1985.9880060783676,35065.0,437500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,3,2.5,2070.0,13241.0,1.5,0,0,5,3.0,1270.0,800.0,0,2200.0,4500.0,850830,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
101,3,2.0,1980.0,7620.0,1.5,0,0,4,2.0,1440.0,0.0,0,1985.9880060783676,3478.0,555000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,3,2.25,2190.0,107593.0,2.0,0,0,3,2.5,2190.0,0.0,0,2570.0,47777.0,699950,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
103,3,2.5,2920.0,8113.0,2.0,0,0,3,3.0,2920.0,0.0,1,1985.9880060783676,8113.0,1088000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
104,3,1.0,1210.0,33919.0,1.0,0,0,3,2.0,1210.0,0.0,0,1640.0,14910.0,290000,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,3,2.5,2340.0,10005.0,1.0,0,0,4,3.0,1460.0,880.0,0,2250.0,12729.291474216161,375000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,2,1.75,1240.0,2493.0,1.0,0,0,4,3.0,1240.0,0.0,0,1270.0,12729.291474216161,188500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,4,2.5,1920.0,28037.0,2.0,0,0,4,3.0,3140.0,0.0,0,2990.0,35001.0,680000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
109,5,1.75,1920.0,12342.0,2.0,0,0,4,2.0,2030.0,0.0,0,2500.0,9433.0,470000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
110,4,2.5,2310.0,9624.0,2.0,0,0,3,3.0,2310.0,0.0,0,1940.0,9636.0,597750,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
111,3,1.75,1260.0,3328.0,1.0,0,0,5,1.0,700.0,560.0,0,1380.0,3536.0,570000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,3,1.75,2080.0,5969.0,1.0,0,0,3,2.0,1080.0,1000.0,0,2090.0,5500.0,329950,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,4,2.5,3230.0,16171.0,2.0,0,3,3,3.0,2520.0,710.0,0,2640.0,8517.0,480000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,3,3.5,4380.0,6350.0,2.0,0,0,3,3.0,2780.0,1600.0,0,1830.0,6350.0,740500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,3,3.5,1590.0,1102.0,3.0,0,0,3,3.0,1590.0,0.0,0,1620.0,12729.291474216161,518500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,2,1.0,1920.0,6780.0,1.0,0,0,4,1.0,880.0,0.0,0,1190.0,6780.0,205425,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,3,2.0,1570.0,9600.0,1.0,0,0,3,1.0,1570.0,0.0,0,1880.0,9000.0,171800,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,4,1.0,1610.0,2982.0,1.5,0,0,4,2.0,1610.0,0.0,0,1610.0,4040.0,535000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,3,2.5,2400.0,6474.0,1.0,0,2,3,3.0,1560.0,0.0,0,2340.0,10856.0,660000,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
121,3,2.0,1450.0,9132.0,1.0,0,0,3,2.0,1450.0,0.0,0,1580.0,9104.0,391500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,2,1.0,770.0,6000.0,1.0,0,0,3,1.0,770.0,0.0,0,1710.0,6000.0,395000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,4,1.75,2100.0,4400.0,1.5,0,0,5,2.0,1720.0,380.0,0,1850.0,4400.0,445000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,3,2.25,2910.0,10204.0,2.0,0,0,3,3.0,2910.0,0.0,0,2700.0,13992.0,770000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
125,4,2.75,2750.0,17789.0,1.5,0,0,3,3.0,1980.0,770.0,1,3060.0,11275.0,1450000,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
126,3,2.25,2100.0,8201.0,1.0,0,2,3,3.0,1620.0,480.0,0,2660.0,8712.0,445000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
128,5,3.5,2320.0,4960.0,2.0,0,0,3,2.0,1720.0,600.0,0,1700.0,4960.0,822500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,4,2.5,2070.0,4310.0,2.0,0,0,3,2.0,2070.0,0.0,0,1970.0,3748.0,430000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,3,1.75,1060.0,7620.0,1.0,0,0,4,2.0,1788.3689340415656,0.0,0,1420.0,7680.0,212000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,4,2.25,2010.0,9603.0,1.0,0,0,3,3.0,1440.0,570.0,0,2060.0,9793.0,660500,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
132,3,3.5,3950.0,111078.0,1.5,0,0,3,3.0,2460.0,1490.0,0,2480.0,88500.0,784000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
133,3,2.5,2010.0,2287.0,2.0,0,0,3,3.0,1390.0,620.0,0,1690.0,1662.0,453246,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
134,4,3.5,2140.0,2278.0,3.0,0,0,3,3.0,2140.0,0.0,0,1540.0,2285.0,675000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,3,1.75,1320.0,17390.0,1.0,0,0,4,2.0,1320.0,0.0,0,1550.0,19265.0,199000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,4,1.75,2020.0,7840.0,1.0,0,0,3,2.0,1010.0,1010.0,0,1750.0,8140.0,220000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,4,2.25,2590.0,10002.0,1.0,0,0,4,3.0,1340.0,1250.0,0,1985.9880060783676,10436.0,452000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
138,2,1.0,1190.0,4440.0,1.0,0,0,3,1.0,1190.0,0.0,0,1060.0,5715.0,382500,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,3,2.25,1170.0,1249.0,3.0,0,0,3,3.0,1170.0,0.0,0,1350.0,1310.0,519950,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140,2,1.0,1110.0,3200.0,1.0,0,0,3,2.0,1110.0,0.0,0,1170.0,3600.0,665000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
141,5,2.5,2820.0,9375.0,1.0,0,0,4,3.0,1550.0,1270.0,0,2820.0,9375.0,527700,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
142,3,1.0,1610.0,8579.0,1.0,0,0,4,2.0,1010.0,600.0,0,1610.0,8579.0,205000,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,3,1.0,1060.0,8097.0,1.0,0,0,4,2.0,940.0,120.0,0,1560.0,7940.0,420000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
144,4,2.25,2030.0,8517.0,1.0,0,0,4,3.0,1380.0,650.0,0,2230.0,8824.0,500000,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
145,4,2.5,3670.0,315374.0,2.0,0,0,4,3.0,3670.0,0.0,0,2840.0,87991.0,921500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
146,4,1.0,2550.0,4000.0,2.0,0,0,3,3.0,2370.0,180.0,0,2200.0,4000.0,890000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
147,2,2.5,1920.0,60984.0,2.0,0,0,3,2.5,2420.0,0.0,0,1940.0,193842.0,430000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
148,5,2.0,2260.0,12500.0,1.0,0,0,4,3.0,1130.0,1130.0,0,1360.0,18000.0,258000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,3,2.0,1360.0,3090.0,2.0,0,0,3,3.0,1360.0,0.0,0,1500.0,3090.0,532170,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,3,1.0,1110.0,5000.0,1.5,0,0,3,2.0,1110.0,0.0,0,1420.0,5000.0,560000,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,3,1.0,1250.0,8200.0,1.0,0,0,4,2.0,1250.0,0.0,0,1680.0,8633.0,282950,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,4,3.25,5180.0,19850.0,2.0,0,3,3,4.0,3540.0,1640.0,0,3160.0,9750.0,2250000,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
154,1,1.0,700.0,5100.0,1.0,0,0,3,2.0,700.0,0.0,0,1010.0,5100.0,350000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
155,3,1.0,1180.0,7669.0,1.0,0,0,4,2.5,1180.0,0.0,0,1190.0,7669.0,215000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
157,4,2.75,2640.0,7620.0,1.0,0,0,3,3.0,1620.0,1020.0,0,1980.0,7875.0,320000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,3,2.0,1270.0,7198.0,1.5,0,0,3,2.0,1270.0,0.0,1,1160.0,7198.0,247000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,4,1.75,1760.0,11180.0,1.0,0,0,4,3.0,1760.0,0.0,0,1730.0,11180.0,320000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,5,2.25,2060.0,8632.0,1.0,0,0,3,2.0,1030.0,1030.0,0,1010.0,11680.0,255000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
161,3,1.75,1780.0,9660.0,1.0,0,0,3,2.0,1780.0,0.0,0,1985.9880060783676,9660.0,438000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,3,2.5,3400.0,16603.0,2.0,0,0,3,3.0,3400.0,0.0,0,3400.0,12601.0,900000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
